date,release
18.01.2021 11:47,A/B:GOOD_OLD_BOT/GOOD_NEW_BOT
21.01.2021 18:22,GOOD_OLD_BOT
23.01.2021 09:50,A/B:GOOD_OLD_BOT/10.0.4.2
23.01.2021 18:10,A/B:GOOD_OLD_BOT/10.0.4.3
23.01.2021 18:10,A/B:GOOD_OLD_BOT/10.0.5
24.01.2021 21:50,A/B:GOOD_OLD_BOT/10.0.5.1
25.01.2021 18:40,A/B:GOOD_OLD_BOT/10.0.6
27.01.2021 12:45,A/B:GOOD_OLD_BOT/10.0.6.1
28.01.2021 13:38,A/B:GOOD_OLD_BOT/10.0.6.1
28.01.2021 21:17,A/B:GOOD_OLD_BOT/10.0.7.1
29.01.2021 19:38,10.0.7.1
30.01.2021 19:41,10.0.7.2
01.02.2021 09:25,10.0.7.3
01.02.2021 17:41,A/B:10.0.6/10.0.7.6
02.02.2021 19:38,10.0.7.8
03.02.2021 11:41,A/B:10.0.7.8/10.0.8.1
03.02.2021 20:01,A/B:10.0.6/10.0.8.1
04.02.2021 07:14,10.0.6
04.02.2021 17:51,A/B:10.0.7.8/10.0.8.3
07.02.2021 15:44,A/B:10.0.9.1/10.0.9
08.02.2021 13:06,10.0.9.1
08.02.2021 17:26,A/B:10.0.7.6/10.0.9
09.02.2021 09:49,10.0.9
11.02.2021 18:31,10.0.9.2
12.02.2021 20:12,10.0.9.3
14.02.2021 18:49,A/B:10.0.9.4/10.0.9.3
15.02.2021 17:23,10.0.9.4
17.02.2021 20:13,A/B:10.0.10.1/10.0.9.4
18.02.2021 17:28,10.0.10.1
18.02.2021 21:15,A/B:10.0.10.1/10.0.10.3
19.02.2021 17:44,A/B:10.0.10.1/10.0.10.3
20.02.2021 14:17,10.0.10.3
20.02.2021 21:40,10.0.10.1
22.02.2021 11:34,10.0.11.2
22.02.2021 12:51,10.0.11.3
24.02.2021 19:57,A/B:10.0.11.3/10.0.11.4
26.02.2021 13:31,10.0.11.4
27.02.2021 20:10,A/B:10.0.11.4/10.0.11.6
28.02.2021 09:30,10.0.11.4
28.02.2021 16:25,10.0.11.7
28.02.2021 20:53,A/B:10.0.11.3/10.0.11.8
01.03.2021 09:30,10.0.11.3
01.03.2021 12:18,10.0.11.9
01.03.2021 13:56,A/B:10.0.11.3.2/10.0.11.9
02.03.2021 13:43,10.0.11.9
02.03.2021 16:46,A/B:10.0.11.3.3/10.0.11.9
02.03.2021 17:33,10.0.11.3.3
02.03.2021 21:15,A/B:10.0.11.3.3/10.0.11.10
03.03.2021 16:32,10.0.11.3.3
03.03.2021 19:42,A/B:10.0.11.3.3/10.1.0
